"","Comparison","n_observations","Correlation","RMSE","Percent_Bias","pnan"
"1","MODIS vs. ECOSTRESS pre",41,0.362414672645369,1.7813799955926,86.4886313821634,0.206037724313179
"2","MODIS vs. NLDAS pre",972,0.425636283239003,21.4037585331826,1401.82866621492,0.206037724313179
"3","ECOSTRESS vs. NLDAS pre",26,-0.248150646003956,21.5092539853848,602.291593501119,0.206037724313179
"4","MODIS vs. ECOSTRESS post",87,0.698560580508584,1.29306763562176,111.751004930808,0.437124266446778
"5","MODIS vs. NLDAS post",747,-0.292829983068527,16.6820541295886,2048.0493092776,0.437124266446778
"6","ECOSTRESS vs. NLDAS post",70,1.48570287891639e-05,16.4123979106081,955.978270812883,0.437124266446778
