"","Comparison","n_observations","Correlation","RMSE","Percent_Bias","pnan"
"1","MODIS vs. ECOSTRESS pre",42,0.471835167607089,1.84190749133078,84.8469050385134,0.419195077074957
"2","MODIS vs. NLDAS pre",972,0.462449829528844,21.3339148431478,1341.71965097659,0.419195077074957
"3","ECOSTRESS vs. NLDAS pre",30,-0.275475394247709,22.4422124754691,620.148745889109,0.419195077074957
"4","MODIS vs. ECOSTRESS post",83,0.70042204422452,1.00098866037671,51.4468150506773,0.421374788623704
"5","MODIS vs. NLDAS post",747,-0.00692022911546303,16.5358077585649,1763.45123405221,0.421374788623704
"6","ECOSTRESS vs. NLDAS post",63,-0.317564285535094,16.6797760151273,1170.64213342734,0.421374788623704
