"","Comparison","n_observations","Correlation","RMSE","Percent_Bias","pnan"
"1","MODIS vs. ECOSTRESS pre",6,0.80074336753037,7.07973784086389,446.015325292925,0.445599341957676
"2","MODIS vs. NLDAS pre",261,0.596444754458029,6.38796042471906,379.834855100208,0.445599341957676
"3","ECOSTRESS vs. NLDAS pre",3,-0.77504871057924,5.20510854497305,61.052842212657,0.445599341957676
"4","MODIS vs. ECOSTRESS post",126,0.416174996740787,2.90385708245573,115.949592148167,0.343702527054498
"5","MODIS vs. NLDAS post",1458,0.438852369961594,6.47945738762739,481.781146385698,0.343702527054498
"6","ECOSTRESS vs. NLDAS post",98,-0.0338785477503917,6.88351963120787,224.517512055882,0.343702527054498
