"","Comparison","n_observations","Correlation","RMSE","Percent_Bias","pnan"
"1","MODIS vs. ECOSTRESS pre",8,-0.858136487698071,3.31853093988323,109.271194428549,0.468412582225704
"2","MODIS vs. NLDAS pre",261,0.56930813625216,5.9252746177266,368.645053910635,0.468412582225704
"3","ECOSTRESS vs. NLDAS pre",4,0.895868658407624,7.67548686815996,183.911003436832,0.468412582225704
"4","MODIS vs. ECOSTRESS post",124,0.57410587519338,1.8670735465708,150.448667271351,0.316412457455137
"5","MODIS vs. NLDAS post",1458,-0.0319018974579178,6.36543076347024,699.729156339732,0.316412457455137
"6","ECOSTRESS vs. NLDAS post",97,-0.0772055869816904,6.70388957537602,311.093650286549,0.316412457455137
