"","Comparison","n_observations","Correlation","RMSE","Percent_Bias","pnan"
"1","MODIS vs. ECOSTRESS pre",8,-0.693164983816488,4.67228190175788,263.370151548189,0.0246114286319777
"2","MODIS vs. NLDAS pre",261,0.433269154989411,20.8097160303505,1402.55194834232,0.0246114286319777
"3","ECOSTRESS vs. NLDAS pre",4,0.540300575028097,29.4638912357121,468.708810950185,0.0246114286319777
"4","MODIS vs. ECOSTRESS post",128,0.567052545945588,2.0823187945379,133.518444327444,0.40864826524115
"5","MODIS vs. NLDAS post",1458,0.324465076318785,22.5587039106547,1618.05105207393,0.40864826524115
"6","ECOSTRESS vs. NLDAS post",107,-0.263345554399789,23.4500452437154,675.111511855801,0.40864826524115
