"","Comparison","n_observations","Correlation","RMSE","Percent_Bias","pnan"
"1","MODIS vs. ECOSTRESS pre",8,0.941854493984919,11.1069945618735,747.061177780344,0.305684634570736
"2","MODIS vs. NLDAS pre",261,0.526739303050546,6.09607568823442,420.997317151267,0.305684634570736
"3","ECOSTRESS vs. NLDAS pre",4,-0.952538499448218,3.09961592083948,0.817292920752496,0.305684634570736
"4","MODIS vs. ECOSTRESS post",130,0.572002531246219,2.51738504125494,259.857366141002,0.377802770350751
"5","MODIS vs. NLDAS post",1458,-0.236445394527951,6.44092083819733,758.046766900636,0.377802770350751
"6","ECOSTRESS vs. NLDAS post",109,-0.0174733934812043,5.95019106624101,187.976397948762,0.377802770350751
