"","Comparison","n_observations","Correlation","RMSE","Percent_Bias","pnan"
"1","MODIS vs. ECOSTRESS pre",8,-0.884266765704672,3.41223087784243,75.1477757919199,0.222220579546628
"2","MODIS vs. NLDAS pre",261,0.576337276131919,5.8484947392442,345.754969410425,0.222220579546628
"3","ECOSTRESS vs. NLDAS pre",4,0.947945976229819,7.93654062424219,200.443574486584,0.222220579546628
"4","MODIS vs. ECOSTRESS post",120,0.536745368066301,2.71078880197766,201.147051104501,0.340376009519335
"5","MODIS vs. NLDAS post",1458,0.122087787764026,6.28819799993782,645.116535198108,0.340376009519335
"6","ECOSTRESS vs. NLDAS post",96,-0.162454533442822,6.30688816419774,207.109192342644,0.340376009519335
